,subj,sess,trial,time_penalty,gameState,start_time,stop_time,time_bin,time_step,maze_region,head_direc,is_moving,base_in_view,gold_in_view,gold_in_view_ids,dig_performed,dig_success,all_digs,dig_ids,dig_dists
68,U554,ses0,1,0,Encoding,743099,743599,48,9,N Passage,SW,1,1,0.0,,,,,,
69,U554,ses0,1,0,Encoding,743599,744099,49,9,N Passage,W,1,0,0.0,,,,,,
70,U554,ses0,1,0,Encoding,744099,744599,50,9,N Passage,W,1,0,0.0,,,,,,
71,U554,ses0,1,0,Encoding,744599,745099,51,9,NW Hall,W,1,0,0.0,,,,,,
72,U554,ses0,1,0,Encoding,745099,745599,52,9,NW Hall,SW,1,0,0.0,,,,,,
73,U554,ses0,1,0,Encoding,745599,746099,53,9,NW Hall,SW,1,0,0.0,,,,,,
74,U554,ses0,1,0,Encoding,746099,746599,54,10,NW Hall,SW,1,0,1.0,['saphireTeardrop0001'],,,,,
75,U554,ses0,1,0,Encoding,746599,747099,55,10,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
76,U554,ses0,1,0,Encoding,747099,747599,56,10,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
77,U554,ses0,1,0,Encoding,747599,748099,57,10,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
78,U554,ses0,1,0,Encoding,748099,748599,58,10,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
79,U554,ses0,1,0,Encoding,748599,749099,59,10,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
80,U554,ses0,1,0,ReturnToBase1,749115,749615,0,1,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
81,U554,ses0,1,0,ReturnToBase1,749615,750115,1,1,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
82,U554,ses0,1,0,ReturnToBase1,750115,750615,2,2,NW Hall,S,0,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
83,U554,ses0,1,0,ReturnToBase1,750615,751115,3,2,NW Hall,S,0,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
84,U554,ses0,1,0,ReturnToBase1,751115,751615,4,3,NW Hall,S,0,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
85,U554,ses0,1,0,ReturnToBase1,751615,752115,5,3,NW Hall,S,0,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
86,U554,ses0,1,0,ReturnToBase1,752115,752615,6,4,NW Hall,SE,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
87,U554,ses0,1,0,ReturnToBase1,752615,753115,7,4,NW Hall,SE,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
88,U554,ses0,1,0,ReturnToBase1,753115,753615,8,5,NW Hall,SE,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",,,,,
89,U554,ses0,1,0,ReturnToBase1,753615,754115,9,5,NW Room,SE,1,0,1.0,['citrineGeo0000'],,,,,
90,U554,ses0,1,0,ReturnToBase1,754115,754615,10,6,NW Room,SE,1,0,1.0,['citrineGeo0000'],,,,,
91,U554,ses0,1,0,ReturnToBase1,754615,755115,11,6,NW Room,SE,1,0,0.0,,,,,,
92,U554,ses0,1,0,ReturnToBase1,755115,755615,12,7,NW Room,SE,1,0,0.0,,,,,,
93,U554,ses0,1,0,ReturnToBase1,755615,756115,13,7,C Hall,SE,1,0,0.0,,,,,,
94,U554,ses0,1,0,ReturnToBase1,756115,756615,14,8,C Hall,SE,1,0,0.0,,,,,,
