,trial,gameState,45-1
447,3,Encoding,0
448,3,Delay2,0
449,3,Delay2,0
450,3,Delay2,0
451,3,Delay2,0
452,3,Delay2,0
453,3,Delay2,0
454,3,Delay2,0
455,3,Delay2,1
456,3,Delay2,0
457,3,Delay2,0
458,3,Delay2,0
459,3,Delay2,0
460,3,Delay2,0
461,3,Delay2,0
462,3,Delay2,1
463,3,Delay2,0
464,3,Delay2,0
465,3,Delay2,0
466,3,Delay2,0
467,3,Delay2,1
468,3,Retrieval,0
469,3,Retrieval,0
470,3,Retrieval,0
471,3,Retrieval,0
472,3,Retrieval,0
473,3,Retrieval,0
474,3,Retrieval,0
475,3,Retrieval,0
476,3,Retrieval,1
477,3,Retrieval,1
478,3,Retrieval,1
479,3,Retrieval,0
480,3,Retrieval,0
481,3,Retrieval,0
482,3,Retrieval,0
483,3,Retrieval,0
484,3,Retrieval,0
485,3,Retrieval,1
486,3,Retrieval,0
487,3,Retrieval,0
488,3,Retrieval,0
489,3,Retrieval,0
490,3,Retrieval,0
491,3,Retrieval,0
492,3,Retrieval,0
493,3,Retrieval,1
494,3,Retrieval,0
495,3,Retrieval,0
496,3,Retrieval,0
497,3,Retrieval,0
498,3,Retrieval,1
499,3,Retrieval,1
500,3,Retrieval,0
501,3,Retrieval,0
502,3,Retrieval,1
503,3,Retrieval,0
504,3,Retrieval,0
505,3,Retrieval,0
506,3,Retrieval,1
507,3,Retrieval,0
508,3,Retrieval,1
509,3,Retrieval,0
510,3,Retrieval,1
511,3,Retrieval,0
512,3,Retrieval,0
513,3,Retrieval,0
514,3,Retrieval,0
515,3,Retrieval,0
516,3,Retrieval,1
517,3,Retrieval,2
518,3,Retrieval,0
519,3,Retrieval,0
520,3,Retrieval,0
521,3,Retrieval,0
522,3,Retrieval,0
523,3,Retrieval,0
524,3,Retrieval,0
525,3,Retrieval,0
526,3,Retrieval,0
527,3,Retrieval,0
544,4,Delay1,0
545,4,Delay1,0
546,4,Delay1,0
547,4,Delay1,0
548,4,Delay1,0
549,4,Delay1,0
550,4,Delay1,1
551,4,Delay1,0
552,4,Delay1,0
553,4,Delay1,0
554,4,Delay1,0
555,4,Delay1,1
556,4,Delay1,1
557,4,Delay1,0
558,4,Delay1,0
559,4,Delay1,0
560,4,Delay1,1
561,4,Delay1,0
562,4,Delay1,0
563,4,Delay1,0
564,4,Encoding,1
565,4,Encoding,0
566,4,Encoding,0
567,4,Encoding,0
568,4,Encoding,0
569,4,Encoding,1
570,4,Encoding,1
571,4,Encoding,0
572,4,Encoding,0
573,4,Encoding,0
574,4,Encoding,0
575,4,Encoding,0
576,4,Encoding,0
577,4,Encoding,0
578,4,Encoding,0
579,4,Encoding,0
580,4,Encoding,0
581,4,Encoding,0
582,4,Encoding,0
583,4,Encoding,0
