,0
1059,1659887219802.688
1060,1659887220817.407
1061,1659887221701.406
1062,1659887222891.749
1063,1659887223939.905
1064,1659887224892.686
1065,1659887225764.436
1066,1659887226907.592
1067,1659887228066.122
1068,1659887228904.31
1069,1659887230035.872
1070,1659887230870.152
1071,1659887231701.433
1072,1659887232630.714
1073,1659887233437.526
1074,1659887234477.026
1075,1659887235303.994
1076,1659887236161.307
1077,1659887237063.15
1078,1659887238028.181
1079,1659887238956.368
1080,1659887240067.961
1081,1659887241025.367
1082,1659887242182.648
1083,1659887243010.804
1084,1659887244180.741
1085,1659887245331.115
1086,1659887246243.49
1087,1659887247271.958
1088,1659887248399.239
1089,1659887249207.395
1090,1659887250373.551
1091,1659887251236.301
1092,1659887252248.581
1093,1659887253236.144
1094,1659887254236.487
1095,1659887255241.549
1096,1659887256226.33
1097,1659887257286.892
1098,1659887258409.829
1099,1659887259373.985
1100,1659887260397.391
1101,1659887261257.609
1102,1659887262234.984
1103,1659887263093.39
1104,1659887264181.139
1105,1659887265316.67
1106,1659887266471.982
1107,1659887267467.388
1108,1659887268512.419
1109,1659887269400.231
1110,1659887270565.637
1111,1659887271676.074
1112,1659887272576.823
1113,1659887273759.26
1114,1659887274716.916
1115,1659887275573.791
1116,1659887276500.353
1117,1659887277660.759
1118,1659887278738.946
1119,1659887279741.133
1120,1659887280900.914
1121,1659887281815.476
1122,1659887282645.35
1123,1659887283476.194
1124,1659887284641.225
1125,1659887285812.974
1126,1659887286832.599
1127,1659887287973.63
1128,1659887288978.442
1129,1659887289813.16
1130,1659887290855.222
1131,1659887291851.94
1132,1659887292830.659
1133,1659887293632.159
1134,1659887294737.158
1135,1659887295788.47
1136,1659887296969.251
1137,1659887298068.907
1138,1659887299008.969
1139,1659887299843.406
1140,1659887301037.312
1141,1659887302153.468
1142,1659887303337.811
1143,1659887304378.654
1144,1659887305220.498
1145,1659887306077.091
1146,1659887307239.028
1147,1659887308268.028
1148,1659887309098.059
1149,1659887310041.527
1150,1659887310919.027
1151,1659887311943.432
1152,1659887313126.807
1153,1659887314047.307
1154,1659887315052.681
1155,1659887315961.681
1156,1659887316792.555
1157,1659887317738.524
1158,1659887318630.93
1159,1659887319746.398
1160,1659887320662.054
1161,1659887321475.397
1162,1659887322667.022
1163,1659887323677.021
1164,1659887324721.24
1165,1659887325690.333
1166,1659887326621.739
1167,1659887327520.551
1168,1659887328397.52
1169,1659887329502.832
1170,1659887330380.581
1171,1659887331407.768
1172,1659887332427.455
1173,1659887333471.611
1174,1659887334478.923
1175,1659887335322.079
1176,1659887336251.86
1177,1659887337242.016
1178,1659887338430.328
1179,1659887339539.828
1180,1659887340347.89
1181,1659887341539.202
1182,1659887342650.639
1183,1659887343511.17
1184,1659887344667.451
1185,1659887345485.888
1186,1659887346500.356
1187,1659887347359.731
1188,1659887348354.98
1189,1659887349351.605
1190,1659887350371.573
1191,1659887351404.729
1192,1659887352411.26
1193,1659887353436.916
1194,1659887354555.04
1195,1659887355736.571
1196,1659887356861.883
1197,1659887357835.289
1198,1659887359030.851
1199,1659887360102.976
1200,1659887361227.444
1201,1659887362290.631
1202,1659887363240.943
1203,1659887364165.661
1204,1659887365031.755
1205,1659887366082.286
1206,1659887366886.723
1207,1659887367824.16
1208,1659887368936.597
1209,1659887369900.472
1210,1659887371080.002
1211,1659887372120.096
1212,1659887373079.595
1213,1659887374062.657
1214,1659887375169.376
1215,1659887376093.75
1216,1659887376995.969
1217,1659887378126.75
1218,1659887379180.405
1219,1659887380206.718
1220,1659887381362.498
1221,1659887382235.935
1222,1659887383338.998
1223,1659887384420.122
1224,1659887385305.715
1225,1659887386349.371
1226,1659887387169.777
1227,1659887388364.339
1228,1659887389489.339
1229,1659887390516.213
1230,1659887391433.182
1231,1659887392590.181
1232,1659887393584.868
1233,1659887394499.868
1234,1659887395684.399
1235,1659887396629.68
1236,1659887397670.054
1237,1659887398655.21
1238,1659887399850.272
1239,1659887400756.178
1240,1659887401569.459
1241,1659887402445.865
1242,1659887403391.021
1243,1659887404223.395
1244,1659887405241.114
1245,1659887406420.27
1246,1659887407295.488
1247,1659887408117.925
1248,1659887409236.425
1249,1659887410231.237
1250,1659887411310.861
1251,1659887412504.861
1252,1659887413626.392
1253,1659887414594.704
1254,1659887415711.922
1255,1659887416762.422
1256,1659887417922.546
1257,1659887418991.577
1258,1659887419830.983
1259,1659887420853.076
1260,1659887421883.045
1261,1659887422693.482
1262,1659887423705.169
1263,1659887424590.668
1264,1659887425437.074
1265,1659887426259.574
1266,1659887427105.605
1267,1659887427948.48
1268,1659887428947.042
1269,1659887429908.166
1270,1659887430992.103
1271,1659887432108.759
1272,1659887433246.227
1273,1659887434193.352
1274,1659887435206.477
1275,1659887436285.758
1276,1659887437413.601
1277,1659887438484.725
1278,1659887439349.6
1279,1659887440254.818
1280,1659887441223.162
1281,1659887442420.349
1282,1659887443297.161
1283,1659887444229.473
1284,1659887445376.941
1285,1659887446299.16
1286,1659887447135.316
1287,1659887447960.659
1288,1659887448959.002
1289,1659887449893.596
1290,1659887450878.22
1291,1659887452048.814
1292,1659887452994.626
1293,1659887453966.657
1294,1659887455044.937
1295,1659887455848.375
1296,1659887456912.499
1297,1659887457772.811
1298,1659887458958.467
1299,1659887459952.779
1300,1659887461085.31
1301,1659887461917.685
1302,1659887462942.059
1303,1659887463898.309
1304,1659887465007.527
1305,1659887466169.746
1306,1659887467028.589
1307,1659887468000.682
1308,1659887469156.088
1309,1659887469993.994
1310,1659887471116.994
1311,1659887472005.837
1312,1659887473010.493
1313,1659887474144.055
1314,1659887474997.836
1315,1659887476029.773
1316,1659887477162.772
1317,1659887478042.897
1318,1659887478981.334
1319,1659887480104.552
1320,1659887481291.083
1321,1659887482112.489
1322,1659887483156.239
1323,1659887484020.27
1324,1659887485197.769
1325,1659887486311.206
1326,1659887487281.331
1327,1659887488246.049
1328,1659887489316.267
1329,1659887490325.83
1330,1659887491141.017
1331,1659887492208.86
1332,1659887493294.078
1333,1659887494364.484
1334,1659887495336.671
